trace_id,created_at,entity_type,entity_id,signal,triggered_rule,evidence,business_impact,generated_action,confidence_level,run_id,generated_at
TRC-0000000030,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-BFC0D6D6,"Failed Payments, High Support Burden",Risk band: High,"Risk drivers: Failed Payments, High Support Burden.",$49.00 revenue at risk,Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000031,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-708114B8,Failed Payments,Risk band: High,Risk drivers: Failed Payments.,$49.00 revenue at risk,Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000032,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-713A7B4E,Failed Payments,Risk band: High,Risk drivers: Failed Payments.,$49.00 revenue at risk,Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000033,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-F83A4925,"Low NPS, Failed Payments, High Support Burden",Risk band: Critical,"Risk drivers: Low NPS, Failed Payments, High Support Burden.",$49.00 revenue at risk,Escalate to churn prevention workflow,High,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000034,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-9317BE17,"Failed Payments, High Support Burden",Risk band: High,"Risk drivers: Failed Payments, High Support Burden.",$199.00 revenue at risk,Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000035,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-8C1BDC39,"Low NPS, Failed Payments",Risk band: High,"Risk drivers: Low NPS, Failed Payments.",$49.00 revenue at risk,Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000036,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-25BCEBD3,"Failed Payments, High Support Burden",Risk band: High,"Risk drivers: Failed Payments, High Support Burden.",$199.00 revenue at risk,Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000037,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-4531BF5D,"Low NPS, High Support Burden",Risk band: High,"Risk drivers: Low NPS, High Support Burden.",$499.00 revenue at risk,Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000038,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-720D85B4,"Failed Payments, High Support Burden",Risk band: High,"Risk drivers: Failed Payments, High Support Burden.",$199.00 revenue at risk,Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000039,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-00E36B8D,Failed Payments,Risk band: High,Risk drivers: Failed Payments.,$49.00 revenue at risk,Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000040,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-DC253138,Failed Payments,Risk band: High,Risk drivers: Failed Payments.,$199.00 revenue at risk,Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000041,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-6ADEA430,"Low NPS, Failed Payments, High Support Burden",Risk band: Critical,"Risk drivers: Low NPS, Failed Payments, High Support Burden.",$199.00 revenue at risk,Escalate to churn prevention workflow,High,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000042,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-0C211463,Failed Payments,Risk band: High,Risk drivers: Failed Payments.,$499.00 revenue at risk,Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000043,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-FE87BC24,"Low NPS, Failed Payments",Risk band: High,"Risk drivers: Low NPS, Failed Payments.",$49.00 revenue at risk,Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000044,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-2B2FEA72,Failed Payments,Risk band: High,Risk drivers: Failed Payments.,No direct revenue at risk identified,Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000045,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-BF8F5E08,Failed Payments,Risk band: High,Risk drivers: Failed Payments.,$199.00 revenue at risk,Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000046,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-44C82EE4,"Low NPS, Failed Payments, High Support Burden",Risk band: Critical,"Risk drivers: Low NPS, Failed Payments, High Support Burden.",$499.00 revenue at risk,Escalate to churn prevention workflow,High,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000047,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-6EA960EA,Failed Payments,Risk band: High,Risk drivers: Failed Payments.,$49.00 revenue at risk,Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000048,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-0A2FE7D2,Failed Payments,Risk band: High,Risk drivers: Failed Payments.,$49.00 revenue at risk,Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000049,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-7B0333AA,"Failed Payments, High Support Burden",Risk band: High,"Risk drivers: Failed Payments, High Support Burden.",$199.00 revenue at risk,Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000050,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-6785B597,Failed Payments,Risk band: High,Risk drivers: Failed Payments.,$49.00 revenue at risk,Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000051,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-110057AA,Failed Payments,Risk band: High,Risk drivers: Failed Payments.,No direct revenue at risk identified,Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000052,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-8BFBD4B7,"Failed Payments, High Support Burden",Risk band: High,"Risk drivers: Failed Payments, High Support Burden.",No direct revenue at risk identified,Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000053,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-A68ECECD,"Failed Payments, High Support Burden",Risk band: High,"Risk drivers: Failed Payments, High Support Burden.",No direct revenue at risk identified,Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000054,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-EE3C9DC4,Failed Payments,Risk band: High,Risk drivers: Failed Payments.,$49.00 revenue at risk,Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000055,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-BF24C6DE,Failed Payments,Risk band: High,Risk drivers: Failed Payments.,$199.00 revenue at risk,Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000056,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-451153EF,"Low NPS, High Support Burden",Risk band: High,"Risk drivers: Low NPS, High Support Burden.",No direct revenue at risk identified,Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000057,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-F21ECFAB,Failed Payments,Risk band: High,Risk drivers: Failed Payments.,$499.00 revenue at risk,Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000058,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-DD10A3F2,"Failed Payments, High Support Burden",Risk band: High,"Risk drivers: Failed Payments, High Support Burden.",$499.00 revenue at risk,Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000059,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-6D2A8F0A,"Failed Payments, High Support Burden",Risk band: High,"Risk drivers: Failed Payments, High Support Burden.","$1,999.00 revenue at risk",Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000060,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-2A07BD4E,Failed Payments,Risk band: High,Risk drivers: Failed Payments.,$199.00 revenue at risk,Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000061,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-AE2DE60C,"Failed Payments, High Support Burden",Risk band: High,"Risk drivers: Failed Payments, High Support Burden.",$199.00 revenue at risk,Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000062,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-82C553A8,"Failed Payments, High Support Burden",Risk band: High,"Risk drivers: Failed Payments, High Support Burden.",No direct revenue at risk identified,Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000063,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-47982525,Failed Payments,Risk band: High,Risk drivers: Failed Payments.,"$1,999.00 revenue at risk",Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000064,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-B110201C,"Failed Payments, High Support Burden",Risk band: High,"Risk drivers: Failed Payments, High Support Burden.","$1,999.00 revenue at risk",Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000065,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-F27DA024,Failed Payments,Risk band: High,Risk drivers: Failed Payments.,No direct revenue at risk identified,Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000066,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-E1039D02,Failed Payments,Risk band: High,Risk drivers: Failed Payments.,$49.00 revenue at risk,Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000067,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-D0A507B4,Failed Payments,Risk band: High,Risk drivers: Failed Payments.,$199.00 revenue at risk,Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000068,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-9C019996,"Failed Payments, High Support Burden",Risk band: High,"Risk drivers: Failed Payments, High Support Burden.",$49.00 revenue at risk,Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000069,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-5EFAA543,"Failed Payments, High Support Burden",Risk band: High,"Risk drivers: Failed Payments, High Support Burden.",No direct revenue at risk identified,Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000070,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-ACE965ED,"Low NPS, Failed Payments, High Support Burden",Risk band: Critical,"Risk drivers: Low NPS, Failed Payments, High Support Burden.",$49.00 revenue at risk,Escalate to churn prevention workflow,High,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000071,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-642C56AF,Failed Payments,Risk band: High,Risk drivers: Failed Payments.,"$1,999.00 revenue at risk",Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000072,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-F56B92E6,"Low NPS, High Support Burden",Risk band: High,"Risk drivers: Low NPS, High Support Burden.",$49.00 revenue at risk,Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000073,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-60B126F1,Failed Payments,Risk band: High,Risk drivers: Failed Payments.,$49.00 revenue at risk,Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000074,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-E0C220C1,"Failed Payments, High Support Burden",Risk band: High,"Risk drivers: Failed Payments, High Support Burden.",$199.00 revenue at risk,Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000075,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-33BED97C,Failed Payments,Risk band: High,Risk drivers: Failed Payments.,No direct revenue at risk identified,Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000076,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-A13C20EA,"Failed Payments, High Support Burden",Risk band: High,"Risk drivers: Failed Payments, High Support Burden.",$199.00 revenue at risk,Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000077,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-1ABD7017,"Failed Payments, High Support Burden",Risk band: High,"Risk drivers: Failed Payments, High Support Burden.",$499.00 revenue at risk,Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000078,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-FB2E578B,"Failed Payments, High Support Burden",Risk band: High,"Risk drivers: Failed Payments, High Support Burden.","$1,999.00 revenue at risk",Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000079,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-CC72ABE6,Failed Payments,Risk band: High,Risk drivers: Failed Payments.,$499.00 revenue at risk,Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000080,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-9A462EB6,"Failed Payments, High Support Burden",Risk band: High,"Risk drivers: Failed Payments, High Support Burden.","$1,999.00 revenue at risk",Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000081,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-BCFC9FDB,"Failed Payments, High Support Burden",Risk band: High,"Risk drivers: Failed Payments, High Support Burden.",$199.00 revenue at risk,Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000082,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-983CC5FC,"Failed Payments, High Support Burden",Risk band: High,"Risk drivers: Failed Payments, High Support Burden.","$1,999.00 revenue at risk",Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000083,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-743625A5,"Failed Payments, High Support Burden",Risk band: High,"Risk drivers: Failed Payments, High Support Burden.",No direct revenue at risk identified,Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000084,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-A2F9D002,"Low NPS, Failed Payments, High Support Burden",Risk band: Critical,"Risk drivers: Low NPS, Failed Payments, High Support Burden.",$199.00 revenue at risk,Escalate to churn prevention workflow,High,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000085,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-F2CE1905,"Failed Payments, High Support Burden",Risk band: High,"Risk drivers: Failed Payments, High Support Burden.",$49.00 revenue at risk,Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000086,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-155EA421,Failed Payments,Risk band: High,Risk drivers: Failed Payments.,$199.00 revenue at risk,Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000087,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-52FA0EE1,"Failed Payments, High Support Burden",Risk band: High,"Risk drivers: Failed Payments, High Support Burden.",$199.00 revenue at risk,Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000088,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-2268A0CA,"Failed Payments, High Support Burden",Risk band: High,"Risk drivers: Failed Payments, High Support Burden.",$199.00 revenue at risk,Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000089,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-F965BA2F,"Failed Payments, High Support Burden",Risk band: High,"Risk drivers: Failed Payments, High Support Burden.",$49.00 revenue at risk,Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000090,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-045CDBCF,"Low NPS, Failed Payments",Risk band: High,"Risk drivers: Low NPS, Failed Payments.",$49.00 revenue at risk,Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000091,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-CA92DA61,"Failed Payments, High Support Burden",Risk band: High,"Risk drivers: Failed Payments, High Support Burden.",$199.00 revenue at risk,Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000092,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-A70897CD,Failed Payments,Risk band: High,Risk drivers: Failed Payments.,$49.00 revenue at risk,Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000093,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-4A9F9F0F,Failed Payments,Risk band: High,Risk drivers: Failed Payments.,$199.00 revenue at risk,Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000094,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-922A28DA,Failed Payments,Risk band: High,Risk drivers: Failed Payments.,$49.00 revenue at risk,Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000095,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-67BA9206,Failed Payments,Risk band: High,Risk drivers: Failed Payments.,$199.00 revenue at risk,Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000096,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-5130E926,"Failed Payments, High Support Burden",Risk band: High,"Risk drivers: Failed Payments, High Support Burden.",$49.00 revenue at risk,Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000097,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-088652B9,Failed Payments,Risk band: High,Risk drivers: Failed Payments.,$499.00 revenue at risk,Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
TRC-0000000098,2026-05-01T00:00:00+00:00,ChurnRisk,CUST-3EF420B5,Failed Payments,Risk band: High,Risk drivers: Failed Payments.,$199.00 revenue at risk,Escalate to churn prevention workflow,Medium,productpulse-2026-05-01,2026-05-01T00:00:00+00:00
